iteration,Train IEEE,Test IEEE
1,0.2544,0.165605096
2,0.5184,0.47133758
3,0.544,0.477707006
4,0.5712,0.49044586
5,0.5872,0.496815287
6,0.6208,0.50955414
7,0.648,0.503184713
8,0.6576,0.503184713
9,0.6784,0.541401274
10,0.704,0.547770701
11,0.7152,0.535031847
12,0.7296,0.541401274
13,0.7456,0.541401274
14,0.76,0.541401274
15,0.776,0.547770701
16,0.7904,0.541401274
17,0.7984,0.554140127
18,0.8048,0.554140127
19,0.808,0.547770701
20,0.8112,0.554140127
21,0.8176,0.547770701
22,0.8288,0.541401274
23,0.832,0.547770701
24,0.8384,0.547770701
25,0.84,0.554140127
26,0.8416,0.554140127
27,0.8432,0.560509554
28,0.8496,0.560509554
29,0.8608,0.560509554
30,0.872,0.560509554
31,0.8752,0.560509554
32,0.8832,0.560509554
33,0.8832,0.560509554
34,0.8864,0.560509554
35,0.8928,0.560509554
36,0.8944,0.566878981
37,0.896,0.566878981
38,0.9008,0.566878981
39,0.904,0.560509554
40,0.9056,0.560509554
41,0.9056,0.560509554
42,0.9104,0.560509554
43,0.912,0.560509554
44,0.912,0.560509554
45,0.9136,0.560509554
46,0.9168,0.560509554
47,0.9168,0.560509554
48,0.9184,0.560509554
49,0.9232,0.560509554
50,0.928,0.560509554
51,0.9296,0.560509554
52,0.9312,0.560509554
53,0.9328,0.566878981
54,0.9328,0.566878981
55,0.936,0.566878981
56,0.9376,0.573248408
57,0.9424,0.579617834
58,0.9472,0.579617834
59,0.9472,0.579617834
60,0.9472,0.579617834
61,0.9472,0.579617834
62,0.9472,0.579617834
63,0.9488,0.579617834
64,0.9488,0.579617834
65,0.9504,0.579617834
66,0.9504,0.579617834
67,0.9504,0.579617834
68,0.9504,0.579617834
69,0.9504,0.579617834
70,0.9504,0.579617834
71,0.9504,0.579617834
72,0.9504,0.579617834
73,0.952,0.579617834
74,0.952,0.579617834
75,0.9552,0.579617834
76,0.9552,0.579617834
77,0.9552,0.579617834
78,0.9552,0.579617834
79,0.9552,0.579617834
80,0.9568,0.579617834
81,0.9568,0.579617834
82,0.9616,0.579617834
83,0.9616,0.579617834
84,0.9632,0.579617834
85,0.9632,0.579617834
86,0.9632,0.579617834
87,0.9632,0.579617834
88,0.9632,0.573248408
89,0.9632,0.573248408
90,0.9632,0.573248408
91,0.9632,0.573248408
92,0.9632,0.573248408
93,0.9632,0.573248408
94,0.9632,0.573248408
95,0.9632,0.573248408
96,0.9632,0.573248408
97,0.9648,0.573248408
98,0.968,0.573248408
99,0.968,0.573248408
100,0.968,0.573248408