iteration,Train Hybrid,Test Hybrid,Train Hybrid-V2,Test Hybrid-V2
1,0.374971904,0.201797753,0.374971904,0.19658879
2,0.768262531,0.201797753,0.779950551,0.197303371
3,0.767194875,0.203595506,0.779557204,0.201573034
4,0.783378287,0.319550562,0.782647786,0.203370787
5,0.826534053,0.478651685,0.801191279,0.307191011
6,0.830636098,0.479325843,0.805686671,0.316853933
7,0.830748483,0.480898876,0.822993931,0.375505618
8,0.834232412,0.493033708,0.824286356,0.384044944
9,0.834288604,0.493033708,0.829680827,0.391011236
10,0.834063835,0.494606742,0.83069229,0.393483146
11,0.835019105,0.494606742,0.830748483,0.393707865
12,0.83698584,0.51011236,0.833333333,0.396853933
13,0.838615419,0.510337079,0.832996179,0.399550562
14,0.838952574,0.517303371,0.842548887,0.46988764
15,0.838952574,0.517303371,0.844515621,0.473932584
16,0.839121151,0.517303371,0.84563947,0.481797753
17,0.839121151,0.517303371,0.846650933,0.481797753
18,0.839233536,0.518876404,0.84659474,0.481797753
19,0.840020229,0.521348315,0.848336705,0.482247191
20,0.840020229,0.521348315,0.84844909,0.482247191
21,0.840020229,0.521348315,0.848786244,0.483370787
22,0.840244999,0.521348315,0.848898629,0.483370787
23,0.840244999,0.521348315,0.849123399,0.484719101
24,0.840244999,0.521348315,0.84962913,0.490337079
25,0.840244999,0.521348315,0.849741515,0.490561798
26,0.840244999,0.521348315,0.849797707,0.490786517
27,0.840244999,0.521348315,0.850022477,0.491011236
28,0.840188806,0.521348315,0.850247247,0.491011236
29,0.84120027,0.521348315,0.850359631,0.491011236
30,0.84120027,0.521348315,0.849966285,0.491011236
31,0.84120027,0.521348315,0.850022477,0.491235955
32,0.84120027,0.521348315,0.850359631,0.491685393
33,0.84120027,0.521348315,0.851090133,0.498426966
34,0.84120027,0.521348315,0.851090133,0.498651685
35,0.841312655,0.521348315,0.851090133,0.498876404
36,0.841312655,0.521348315,0.851427287,0.498876404
37,0.841312655,0.521348315,0.851314902,0.498876404
38,0.841312655,0.520449438,0.851708249,0.498876404
39,0.841312655,0.520449438,0.851708249,0.498876404
40,0.841312655,0.520674157,0.851989211,0.499325843
41,0.841312655,0.520674157,0.852045403,0.499550562
42,0.841312655,0.520674157,0.852045403,0.499325843
43,0.841312655,0.520674157,0.852045403,0.499325843
44,0.841312655,0.520674157,0.852045403,0.499325843
45,0.841312655,0.520674157,0.852045403,0.499325843
46,0.841312655,0.520674157,0.854911216,0.500674157
47,0.841312655,0.520674157,0.854798831,0.501123596
48,0.841425039,0.520674157,0.854855024,0.501123596
49,0.841425039,0.520674157,0.854855024,0.501123596
50,0.841425039,0.520674157,0.854967408,0.501123596
51,0.841425039,0.520674157,0.855079793,0.501123596
52,0.841425039,0.520674157,0.855135986,0.506516854
53,0.841481232,0.520674157,0.855135986,0.506516854
54,0.841481232,0.520674157,0.855135986,0.506516854
55,0.841481232,0.520449438,0.855192178,0.506516854
56,0.841481232,0.520449438,0.855192178,0.506516854
57,0.841481232,0.520449438,0.855192178,0.506516854
58,0.841481232,0.520449438,0.855192178,0.506516854
59,0.841481232,0.520449438,0.85524837,0.506516854
60,0.841481232,0.520449438,0.85524837,0.506516854
61,0.841481232,0.520449438,0.85524837,0.506516854
62,0.841481232,0.520449438,0.85524837,0.506516854
63,0.841481232,0.520449438,0.85524837,0.506516854
64,0.841481232,0.520449438,0.857833221,0.506292135
65,0.841481232,0.520449438,0.857833221,0.506292135
66,0.841481232,0.520449438,0.857833221,0.506292135
67,0.841537424,0.520674157,0.857889413,0.506292135
68,0.841537424,0.520674157,0.857889413,0.506292135
69,0.841593617,0.520674157,0.857945606,0.506292135
70,0.841593617,0.520674157,0.85828276,0.506292135
71,0.841593617,0.520674157,0.858676107,0.506292135
72,0.841593617,0.520674157,0.858676107,0.506292135
73,0.841593617,0.520674157,0.858788492,0.506292135
74,0.841593617,0.520674157,0.858732299,0.506292135
75,0.841593617,0.520674157,0.858844684,0.506741573
76,0.841593617,0.520674157,0.858957069,0.506741573
77,0.841593617,0.520674157,0.859181839,0.506741573
78,0.841593617,0.520674157,0.859181839,0.506741573
79,0.841593617,0.520674157,0.859181839,0.506741573
80,0.841593617,0.520674157,0.859181839,0.506741573
81,0.841593617,0.520674157,0.859406608,0.506741573
82,0.841593617,0.520674157,0.859406608,0.506741573
83,0.841593617,0.520674157,0.859406608,0.506741573
84,0.841593617,0.520674157,0.859406608,0.506741573
85,0.841593617,0.520674157,0.859013261,0.516404494
86,0.841593617,0.520674157,0.859013261,0.516404494
87,0.841593617,0.520674157,0.859181839,0.516404494
88,0.841593617,0.520674157,0.859181839,0.516404494
89,0.841593617,0.520674157,0.859238031,0.516404494
90,0.841593617,0.520674157,0.859238031,0.516404494
91,0.841593617,0.520674157,0.859238031,0.516404494
92,0.841593617,0.520674157,0.859462801,0.516404494
93,0.841818386,0.520674157,0.859462801,0.516404494
94,0.841818386,0.520674157,0.859518993,0.516404494
95,0.841818386,0.520674157,0.859518993,0.516404494
96,0.841818386,0.520674157,0.859575185,0.516404494
97,0.841818386,0.520674157,0.859575185,0.516179775
98,0.841818386,0.520674157,0.861598112,0.516853933
99,0.841818386,0.520674157,0.861373342,0.516853933
100,0.841818386,0.520674157,0.861373342,0.516853933